?uad_sigla;esc_codigo;esc_nome
BT;191;EMEF - ALIPIO CORREA NETO, PROF.
BT;477;EMEF - EDA TEREZINHA CHICA MEDEIROS, PROFA.
BT;11924;EMEF - MARIA ALICE BORGES GHION, PROFA.
BT;19160;EMEF - ILEUSA CAETANO DA SILVA, PROFA.
BT;19249;EMEF - DAISY AMADIO FUJIWARA, PROFA.
BT;19262;CEU EMEF - BUTANTA
BT;19416;EMEF - VILA MUNCK
BT;19417;EMEF - JARDIM PAULO VI
BT;19551;CEU EMEF - CESAR ARRUDA CASTANHO, DEP.
BT;19715;EMEF - ADALGIZA SEGURADO DA SILVEIRA, PROFA.
BT;19716;EMEF - LUIZ CINTRA DO PRADO, PROF.
BT;92681;EMEF - JOSE DE ALCANTARA MACHADO FILHO
BT;92690;EMEF - AMORIM LIMA, DES.
BT;92703;EMEF - THEODOMIRO DIAS, DES.
BT;92711;EMEF - DEODORO DA FONSECA, MAL.
BT;92720;EMEF - ARTHUR WHITAKER, DES.
BT;92738;EMEF - TARSILA DO AMARAL
BT;92746;EMEF - ALIPIO ANDRADA SERPA, TTE.
BT;92754;EMEF - ALCIDES GONCALVES ETCHEGOYEN, GEN.
BT;92762;EMEF - JOAO XXIII
BT;92771;EMEF - SOLANO TRINDADE
BT;92789;EMEF - LUIZ EDUARDO MATARAZZO, CDE.
BT;92797;EMEF - JULIO MESQUITA
BT;92801;EMEF - IBRAHIM NOBRE
BT;92819;EMEF - BRASIL-JAPAO
BT;92827;EMEF - ALVARO SILVA BRAGA, GEN.
BT;92843;EMEF - ROBERTO MANGE, PROF.
BT;92851;EMEF - EUCLYDES DE OLIVEIRA FIGUEIREDO, GEN.
BT;93131;EMEF - MARIA ANTONIETA D`ALKIMIN BASTO, PROFA.
BT;93149;EMEF - OLAVO PEZZOTTI, PROF.
BT;93165;EMEF - JOSE DIAS DA SILVEIRA, DR.
BT;97047;EMEF - EDUCANDARIO DOM DUARTE, ANEXA AO
BT;99261;EMEF - TEOFILO BENEDITO OTTONI
BT;99287;EMEF - VIANNA MOOG
BT;99589;EMEF - PEDRO NAVA
BT;200158;CIEJA - ALUNA JESSICA NUNES HERCULANO
CL;281;EMEF - VERA LUCIA FUSCO BORBA, PROFA.
CL;311;EMEF - ANTONIO ALVES DA SILVA, SG.
CL;566;EMEF - TERESA MARGARIDA DA SILVA E ORTA
CL;10146;EMEF - MARIA RITA LOPES PONTES - IRMA DULCE
CL;10154;EMEF - MAURO FACCIO GONCALVES - ZACARIA
CL;10162;EMEF - LORENCO MANOEL SPARAPAN, PROF.
CL;10421;EMEF - CYRO ALBUQUERQUE, DEP.
CL;12939;EMEF - JOSE OLYMPIO PEREIRA FILHO
CL;16713;EMEF - ANNA SILVEIRA PEDREIRA
CL;18830;EMEF - PAULO FREIRE, PROF.
CL;19222;EMEF - VEREMUNDO TOTH, DOM
CL;19247;EMEF - TEREZINHA MOTA DE FIGUEIREDO
CL;19251;EMEF - CASARAO
CL;19267;EMEF - MARIA RITA DE CASSIA PINHEIRO SIMOES BRAGA, PROFA.
CL;19275;EMEF - FRANCISCO REBOLO
CL;19283;EMEF - JOSE BLOTA JUNIOR, DEP.
CL;19303;CEU EMEF - CASA BLANCA
CL;19308;CEU EMEF - HERMES FERREIRA DE SOUZA
CL;19335;CEU EMEF - FEITICO DA VILA
CL;19348;EMEF - GIANFRANCESCO GUARNIERI
CL;19360;CEU EMEF - MARIO FITTIPALDI
CL;19361;CEU EMEF - CANTOS DO AMANHECER
CL;19362;CEU EMEF - VILA DO SOL
CL;19370;EMEF - JARDIM MITSUTANI I - PAULO PATARRA, JORNALISTA
CL;19372;EMEF - CHACARA SONHO AZUL
CL;19383;CEU EMEF - JOSE SARAMAGO
CL;19384;CEU EMEF - PARAISOPOLIS
CL;19421;EMEF - JOSE FRANCISCO CAVALCANTE, PROF
CL;19422;EMEF - M BOI MIRIM I
CL;19423;EMEF - M BOI MIRIM II
CL;19424;EMEF - MARLI FERRAZ TORRES BONFIM
CL;19428;EMEF - SOCRATES BRASILEIRO SAMPAIO DE SOUSA VIEIRA DE OLIVEIRA
CL;19430;EMEF - CAMPO LIMPO III
CL;19431;EMEF - MILLOR FERNANDES, JORNALISTA
CL;19434;EMEF - CAMPO LIMPO II
CL;19466;EMEF - PERIMETRAL
CL;19492;EMEF - EDIVALDO DOS SANTOS DANTAS, PROF.
CL;19500;EMEF - HERBERT DE SOUZA - BETINHO
CL;19526;EMEF - DONATO SUSUMU KIMURA
CL;19712;EMEF - MARIA BERENICE DOS SANTOS, PROFA.
CL;19717;EMEF - CESAR YASIGI, PROF.
CL;87319;EMEF - THEODOMIRO MONTEIRO DO AMARAL, PROF.
CL;92860;EMEF - MARIO MOURA E ALBUQUERQUE, BEL.
CL;92878;EMEF - CAROLINA RENNO RIBEIRO DE OLIVEIRA, PROFA.
CL;92886;EMEF - OLIVEIRA VIANA
CL;92894;EMEF - MARIO MARQUES DE OLIVEIRA, PROF.
CL;92908;EMEF - CLEMENTE PASTORE, PROF.
CL;92916;EMEF - ANTONIO ESTANISLAU DO AMARAL
CL;92924;EMEF - MARIO RANGEL, CEL.
CL;92932;EMEF - JORGE AMERICANO, PROF.
CL;92941;EMEF - EUCLIDES DA CUNHA
CL;92959;EMEF - IRACEMA MARQUES DA SILVEIRA, PROFA.
CL;92967;EMEF - LEVY DE AZEVEDO SODRE, PROF.
CL;92975;EMEF - OTONIEL MOTA
CL;92983;EMEF - PROCOPIO FERREIRA
CL;92991;EMEF - AIRTON ARANTES RIBEIRO, PROF.
CL;93009;EMEF - LUIZ TENORIO DE BRITO, CEL.
CL;93017;EMEF - ADHEMAR DE BARROS, PREF.
CL;93025;EMEF - PALIMERCIO DE REZENDE, CEL.
CL;93033;EMEF - MAURICIO SIMAO
CL;93041;EMEF - LEONARDO VILLAS BOAS
CL;93050;EMEF - SYNESIO ROCHA, MIN.
CL;93068;EMEF - ZULMIRA CAVALHEIRO FAUSTINO
CL;93076;EMEF - PAULO COLOMBO PEREIRA DE QUEIROZ, DES.
CL;93084;EMEF - DE GAULLE, GEN.
CL;93092;EMEF - FAGUNDES VARELLA
CL;99104;EMEF - DEZOITO DO FORTE
CL;99112;EMEF - PRACINHAS DA FEB
CL;99228;EMEF - JOAO PEDRO DE CARVALHO NETO, DR.
CL;99236;EMEF - MODESTO SCAGLIUSI
CL;99350;EMEF - 22 DE MARCO
CL;99686;EMEF - RICARDO VITIELLO, PROF.
CL;200131;CIEJA - CENTRO INT ED JOVENS E ADULTOS - CAMPO LIMPO
CS;12688;EMEF - ULYSSES DA SYLVEIRA GUIMARAES
CS;16501;EMEF - FLORESTAN FERNANDES, PROF.
CS;18546;EMEF - DAMIAO, FREI
CS;19194;EMEF - PEDRO GERALDO SCHUNCK
CS;19228;EMEF - JOSE PEGORARO, PE.
CS;19243;EMEF - MARINA MELANDER COUTINHO, PROFA
CS;19254;EMEF - AYRTON OLIVEIRA SAMPAIO, PROF.
CS;19263;CEU EMEF - CIDADE DUTRA
CS;19276;CEU EMEF - TRES LAGOS
