CODESC;tur_id;Período;TURMA
000108;143833;Manhã;3A
000108;143834;Manhã;3B
000108;143835;Manhã;3C
000108;150001;Manhã;ANO 4 AMOSTRAL
000108;143838;Manhã;5A
000108;143839;Manhã;5B
000108;150002;Tarde;ANO 6 AMOSTRAL
000108;143840;Tarde;7A
000108;143841;Tarde;7B
000108;143842;Tarde;7C
000108;150003;Tarde;ANO 8 AMOSTRAL
000191;139177;Manhã;5A
000191;150005;Manhã;ANO 6 AMOSTRAL
000191;139181;Manhã;7A
000191;139182;Manhã;7B
000191;150006;Manhã;ANO 8 AMOSTRAL
000191;139185;Manhã;9A
000191;139174;Tarde;3A
000191;150004;Tarde;ANO 4 AMOSTRAL
000191;139178;Tarde;5B
000205;145672;Manhã;6A
000205;145673;Manhã;7A
000205;145674;Manhã;8A
000205;145675;Manhã;8B
000205;145668;Tarde;3A
000205;145669;Tarde;4A
000205;145670;Tarde;4B
000205;145671;Tarde;5A
000264;150007;Manhã;ANO 4 AMOSTRAL
000264;150008;Manhã;ANO 6 AMOSTRAL
000264;132083;Manhã;7A
000264;132084;Manhã;7B
000264;132085;Manhã;7C
000264;150009;Manhã;ANO 8 AMOSTRAL
000264;132073;Tarde;3A
000264;132074;Tarde;3B
000264;132075;Tarde;3C
000264;132076;Tarde;5A
000281;139835;Manhã;5A
000281;139836;Manhã;5B
000281;150011;Manhã;ANO 6 AMOSTRAL
000281;139839;Manhã;7A
000281;139840;Manhã;7B
000281;150012;Manhã;ANO 8 AMOSTRAL
000281;139843;Manhã;9A
000281;139831;Tarde;3A
000281;139832;Tarde;3B
000281;150010;Tarde;ANO 4 AMOSTRAL
000299;134476;Manhã;5A
000299;134477;Manhã;5B
000299;150014;Manhã;ANO 6 AMOSTRAL
000299;134480;Manhã;7A
000299;134481;Manhã;7B
000299;150015;Manhã;ANO 8 AMOSTRAL
000299;134490;Tarde;3A
000299;134491;Tarde;3B
000299;150013;Tarde;ANO 4 AMOSTRAL
000302;142715;Manhã;3A
000302;142716;Manhã;3B
000302;142717;Manhã;3C
000302;142707;Manhã;7A
000302;142708;Manhã;7B
000302;142709;Manhã;7C
000302;142713;Manhã;9A
000302;142714;Manhã;9B
000302;150016;Tarde;ANO 4 AMOSTRAL
000302;142701;Tarde;5A
000302;142702;Tarde;5B
000302;142703;Tarde;5C
000302;150017;Tarde;ANO 6 AMOSTRAL
000302;150018;Tarde;ANO 8 AMOSTRAL
000311;150020;Manhã;ANO 6 AMOSTRAL
000311;150021;Manhã;ANO 8 AMOSTRAL
000311;142294;Tarde;3A
000311;142296;Tarde;3B
000311;142297;Tarde;3C
000311;150019;Tarde;ANO 4 AMOSTRAL
000311;142300;Tarde;5A
000311;142301;Tarde;5B
000311;142302;Tarde;7A
000311;142303;Tarde;7B
000311;142304;Tarde;7C
000329;145747;Manhã;5A
000329;145748;Manhã;6A
000329;145749;Manhã;6B
000329;145750;Manhã;8A
000329;145751;Manhã;8B
000329;145752;Manhã;9A
000329;145753;Manhã;9B
000329;145754;Manhã;9C
000329;145755;Manhã;9D
000329;145756;Noite;6C
000329;145757;Noite;7A
000329;177826;Noite;8G
000329;145759;Noite;9E
000329;145743;Tarde;3A
000329;145760;Tarde;6D
000329;145744;Tarde;8C
000329;145745;Tarde;8D
000329;145746;Tarde;8E
000337;145719;Manhã;4A
000337;145712;Manhã;5A
000337;183953;Manhã;5B
000337;145713;Manhã;6A
000337;145714;Manhã;7A
000337;145716;Manhã;8A
000337;145718;Tarde;3A
000418;150023;Manhã;ANO 6 AMOSTRAL
000418;143760;Manhã;7A
000418;150024;Manhã;ANO 8 AMOSTRAL
000418;143764;Manhã;9A
000418;143754;Tarde;3A
000418;143755;Tarde;3B
000418;150022;Tarde;ANO 4 AMOSTRAL
000418;143757;Tarde;5A
000477;135325;Manhã;3A
000477;135326;Manhã;3B
000477;150025;Manhã;ANO 4 AMOSTRAL
000477;135329;Manhã;5A
000477;135330;Manhã;5B
000477;150026;Tarde;ANO 6 AMOSTRAL
000477;135333;Tarde;7A
000477;135334;Tarde;7B
000477;150027;Tarde;ANO 8 AMOSTRAL
000477;135337;Tarde;9A
000485;150029;Manhã;ANO 6 AMOSTRAL
000485;134492;Manhã;7A
000485;134493;Manhã;7B
000485;150030;Manhã;ANO 8 AMOSTRAL
000485;134506;Tarde;3A
000485;134507;Tarde;3B
000485;150028;Tarde;ANO 4 AMOSTRAL
000485;134500;Tarde;5A
000485;134501;Tarde;5B
000540;139087;Manhã;3A
000540;139088;Manhã;3B
000540;150031;Manhã;ANO 4 AMOSTRAL
000540;139092;Manhã;5A
000540;139093;Manhã;5B
000540;139095;Manhã;7A
000540;139096;Manhã;7B
000540;139097;Manhã;7C
000540;139103;Manhã;9A
000540;139104;Manhã;9B
000540;139094;Tarde;5C
000540;150032;Tarde;ANO 6 AMOSTRAL
000540;150033;Tarde;ANO 8 AMOSTRAL
000566;144396;Manhã;5A
000566;144399;Manhã;5B
000566;144400;Manhã;5C
000566;144403;Manhã;5D
000566;150035;Manhã;ANO 6 AMOSTRAL
000566;144413;Manhã;7A
000566;144411;Manhã;7B
000566;144410;Manhã;7C
000566;144415;Manhã;7D
000566;150036;Manhã;ANO 8 AMOSTRAL
000566;144422;Manhã;9A
000566;144423;Manhã;9B
000566;144408;Tarde;3A
000566;144409;Tarde;3B
000566;144412;Tarde;3C
000566;150034;Tarde;ANO 4 AMOSTRAL
000892;142247;Manhã;3A
000892;142248;Manhã;3B
000892;150037;Manhã;ANO 4 AMOSTRAL
000892;142251;Tarde;5A
000892;142252;Tarde;5B
000892;150038;Tarde;ANO 6 AMOSTRAL
000892;142255;Tarde;7A
000892;142256;Tarde;7B
000892;150039;Tarde;ANO 8 AMOSTRAL
008834;134978;Manhã;5A
008834;134979;Manhã;5B
008834;150041;Manhã;ANO 6 AMOSTRAL
008834;134984;Manhã;7A
008834;134985;Manhã;7B
008834;134986;Manhã;7C
008834;134987;Manhã;7D
008834;150042;Manhã;ANO 8 AMOSTRAL
008834;134996;Tarde;3A
008834;134997;Tarde;3B
008834;134998;Tarde;3C
008834;134999;Tarde;3D
